LN - Landwirtschaftliche Nutzfläche Total (in ha);379;......0363 Ostermundigen;184;196;185;182;197;198;125;0
LN - Landwirtschaftliche Nutzfläche Total (in ha);380;......0403 Bäriswil;105;106;108;105;111;123;128;143
LN - Landwirtschaftliche Nutzfläche Total (in ha);381;......0535 Deisswil bei Münchenbuchsee;129;128;116;116;141;137;145;142
LN - Landwirtschaftliche Nutzfläche Total (in ha);382;......0538 Fraubrunnen;1919;1944;1978;1921;1930;1870;1862;1867
LN - Landwirtschaftliche Nutzfläche Total (in ha);383;......0540 Jegenstorf;854;860;869;831;806;872;857;861
LN - Landwirtschaftliche Nutzfläche Total (in ha);384;......0541 Iffwil;308;309;296;285;267;258;256;264
LN - Landwirtschaftliche Nutzfläche Total (in ha);385;......0543 Mattstetten;165;166;131;131;150;168;198;207
LN - Landwirtschaftliche Nutzfläche Total (in ha);386;......0544 Moosseedorf;249;250;269;252;244;244;239;242
LN - Landwirtschaftliche Nutzfläche Total (in ha);387;......0546 Münchenbuchsee;504;507;507;486;507;522;613;575
LN - Landwirtschaftliche Nutzfläche Total (in ha);388;......0551 Urtenen-Schönbühl;293;294;295;303;328;306;354;340
LN - Landwirtschaftliche Nutzfläche Total (in ha);389;......0553 Wiggiswil;126;127;130;119;125;116;135;155
LN - Landwirtschaftliche Nutzfläche Total (in ha);390;......0557 Zuzwil (BE);240;232;231;209;235;234;243;232
LN - Landwirtschaftliche Nutzfläche Total (in ha);391;......0602 Arni (BE);707;709;717;652;674;691;704;710
LN - Landwirtschaftliche Nutzfläche Total (in ha);392;......0603 Biglen;246;240;250;254;256;270;265;273
LN - Landwirtschaftliche Nutzfläche Total (in ha);393;......0605 Bowil;767;777;773;759;738;737;840;827
LN - Landwirtschaftliche Nutzfläche Total (in ha);394;......0606 Brenzikofen;131;127;116;112;101;105;120;109
LN - Landwirtschaftliche Nutzfläche Total (in ha);395;......0607 Freimettigen;174;173;169;166;182;189;193;200
LN - Landwirtschaftliche Nutzfläche Total (in ha);396;......0608 Grosshöchstetten;418;451;486;483;464;479;489;493
LN - Landwirtschaftliche Nutzfläche Total (in ha);397;......0609 Häutligen;222;224;210;211;212;207;213;218
LN - Landwirtschaftliche Nutzfläche Total (in ha);398;......0610 Herbligen;173;172;186;179;193;191;194;178
LN - Landwirtschaftliche Nutzfläche Total (in ha);399;......0611 Kiesen;236;240;244;227;223;230;229;228
LN - Landwirtschaftliche Nutzfläche Total (in ha);400;......0612 Konolfingen;925;925;900;894;897;957;932;914
LN - Landwirtschaftliche Nutzfläche Total (in ha);401;......0613 Landiswil;765;751;693;711;695;683;676;670
LN - Landwirtschaftliche Nutzfläche Total (in ha);402;......0614 Linden;788;791;779;801;798;854;882;810
LN - Landwirtschaftliche Nutzfläche Total (in ha);403;......0615 Mirchel;228;224;208;203;200;204;191;192
LN - Landwirtschaftliche Nutzfläche Total (in ha);404;......0616 Münsingen;848;858;907;916;863;883;734;727
LN - Landwirtschaftliche Nutzfläche Total (in ha);405;......0617 Niederhünigen;203;206;227;233;233;233;237;240
LN - Landwirtschaftliche Nutzfläche Total (in ha);406;......0619 Oberdiessbach;806;818;851;803;836;838;813;817
LN - Landwirtschaftliche Nutzfläche Total (in ha);407;......0620 Oberthal;725;733;754;721;722;748;750;731
LN - Landwirtschaftliche Nutzfläche Total (in ha);408;......0622 Oppligen;199;200;190;189;189;204;190;191
LN - Landwirtschaftliche Nutzfläche Total (in ha);409;......0623 Rubigen;386;389;385;381;387;383;914;927
LN - Landwirtschaftliche Nutzfläche Total (in ha);410;......0626 Walkringen;922;919;930;939;894;886;949;921
LN - Landwirtschaftliche Nutzfläche Total (in ha);411;......0627 Worb;1319;1329;1322;1348;1326;1341;1347;1377
LN - Landwirtschaftliche Nutzfläche Total (in ha);412;......0628 Zäziwil;357;359;348;336;324;328;382;346
LN - Landwirtschaftliche Nutzfläche Total (in ha);413;......0629 Oberhünigen;220;209;210;226;221;211;285;256
LN - Landwirtschaftliche Nutzfläche Total (in ha);414;......0630 Allmendingen;337;333;280;281;275;276;0;0
LN - Landwirtschaftliche Nutzfläche Total (in ha);415;......0632 Wichtrach;628;635;690;687;676;695;725;711
LN - Landwirtschaftliche Nutzfläche Total (in ha);416;......0662 Ferenbalm;651;635;624;620;630;623;649;664
LN - Landwirtschaftliche Nutzfläche Total (in ha);417;......0663 Frauenkappelen;377;379;392;376;364;361;363;379
LN - Landwirtschaftliche Nutzfläche Total (in ha);418;......0665 Gurbrü;260;260;265;269;211;231;216;208
LN - Landwirtschaftliche Nutzfläche Total (in ha);419;......0666 Kriechenwil;306;309;294;292;292;278;287;305
LN - Landwirtschaftliche Nutzfläche Total (in ha);420;......0667 Laupen;148;150;148;145;150;159;125;153
LN - Landwirtschaftliche Nutzfläche Total (in ha);421;......0668 Mühleberg;1488;1480;1421;1405;1395;1394;1393;1432
LN - Landwirtschaftliche Nutzfläche Total (in ha);422;......0669 Münchenwiler;241;241;242;238;242;209;197;211
LN - Landwirtschaftliche Nutzfläche Total (in ha);423;......0670 Neuenegg;1245;1235;1253;1251;1237;1254;1224;1222
LN - Landwirtschaftliche Nutzfläche Total (in ha);424;......0671 Wileroltigen;271;273;271;271;285;278;296;284
